,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SwingHigh,SwingLow,Trend,AdjSwingHigh,AdjSwingLow,level_0,level_38,level_50,level_61,level_78,level_100,level_127,level_161,level_261,val,diff,FibonacciLevels
40,2021-05-19,3051.078992245802,3084.716049877565,3034.359492566158,3049.100341796875,1986041,0.0,0,3130.422695897377,3003.591473819631,1,3318.5430800537465,2971.9330770111333,2971.9330770111333,3104.3380981734117,3145.23807853244,3186.138058891468,3244.3685394026274,3318.5430800537465,3412.127780875252,3532.7480619340813,3879.3580649766945,3084.716049877565,346.61000304261324,3034.359492566158
41,2021-05-20,3034.359755534985,3055.828066459473,3019.5198758819524,3027.33544921875,2329027,0.0,0,3130.422695897377,3003.591473819631,1,3318.5430800537465,2971.9330770111333,2971.9330770111333,3104.3380981734117,3145.23807853244,3186.138058891468,3244.3685394026274,3318.5430800537465,3412.127780875252,3532.7480619340813,3879.3580649766945,3055.828066459473,346.61000304261324,3019.5198758819524
42,2021-05-21,3028.324612560994,3055.2342112523515,3022.4876901567845,3047.616455078125,1685566,0.0,0,3130.422695897377,3003.591473819631,1,3318.5430800537465,2971.9330770111333,2971.9330770111333,3104.3380981734117,3145.23807853244,3186.138058891468,3244.3685394026274,3318.5430800537465,3412.127780875252,3532.7480619340813,3879.3580649766945,3055.2342112523515,346.61000304261324,3022.4876901567845
43,2021-05-24,3048.605712890625,3071.854855922568,3039.207123154308,3048.605712890625,1652260,0.0,0,3130.422695897377,3003.591473819631,1,3318.5430800537465,2971.9330770111333,2971.9330770111333,3104.3380981734117,3145.23807853244,3186.138058891468,3244.3685394026274,3318.5430800537465,3412.127780875252,3532.7480619340813,3879.3580649766945,3071.854855922568,346.61000304261324,3039.207123154308
44,2021-05-25,3073.956749320107,3109.995213797097,3064.1146174872542,3095.828369140625,1841613,15.0,0,3130.422695897377,3003.591473819631,1,3318.5430800537465,2971.9330770111333,2971.9330770111333,3104.3380981734117,3145.23807853244,3186.138058891468,3244.3685394026274,3318.5430800537465,3412.127780875252,3532.7480619340813,3879.3580649766945,3109.995213797097,346.61000304261324,3064.1146174872542
45,2021-05-26,3101.7932698967074,3146.53067282791,3085.6878533846634,3140.068603515625,1923753,0.0,0,3130.422695897377,3003.591473819631,1,3318.5430800537465,2971.9330770111333,2971.9330770111333,3104.3380981734117,3145.23807853244,3186.138058891468,3244.3685394026274,3318.5430800537465,3412.127780875252,3532.7480619340813,3879.3580649766945,3146.53067282791,346.61000304261324,3085.6878533846634
46,2021-05-27,3143.4983974364754,3198.972825171513,3143.349369847606,3161.443115234375,5959785,0.0,0,3198.972825171513,3096.8226030791934,1,3198.972825171513,3003.591473819631,3003.591473819631,3078.22715003605,3101.282149495572,3124.337148955094,3157.1612159822103,3198.972825171513,3251.7257900365207,3319.718500306976,3515.0998516588575,3198.972825171513,195.38135135188168,3143.349369847606
47,2021-05-28,3170.887916344172,3179.3383152433494,3117.35205682006,3125.255859375,1763701,0.0,0,3198.972825171513,3096.8226030791934,1,3198.972825171513,3003.591473819631,3003.591473819631,3078.22715003605,3101.282149495572,3124.337148955094,3157.1612159822103,3198.972825171513,3251.7257900365207,3319.718500306976,3515.0998516588575,3179.3383152433494,195.38135135188168,3117.35205682006
48,2021-05-31,3131.6183351960503,3151.8496808923496,3110.3433108941163,3140.71484375,1652799,0.0,0,3198.972825171513,3096.8226030791934,1,3198.972825171513,3003.591473819631,3003.591473819631,3078.22715003605,3101.282149495572,3124.337148955094,3157.1612159822103,3198.972825171513,3251.7257900365207,3319.718500306976,3515.0998516588575,3151.8496808923496,195.38135135188168,3110.3433108941163
49,2021-06-01,3150.109894163942,3151.451870678551,3113.7233745019626,3134.600830078125,1377441,0.0,0,3198.972825171513,3096.8226030791934,1,3198.972825171513,3003.591473819631,3003.591473819631,3078.22715003605,3101.282149495572,3124.337148955094,3157.1612159822103,3198.972825171513,3251.7257900365207,3319.718500306976,3515.0998516588575,3151.451870678551,195.38135135188168,3113.7233745019626
50,2021-06-02,3132.463499626376,3141.0131692091545,3096.8226030791934,3111.188232421875,2240078,0.0,0,3198.972825171513,3096.8226030791934,1,3198.972825171513,3003.591473819631,3003.591473819631,3078.22715003605,3101.282149495572,3124.337148955094,3157.1612159822103,3198.972825171513,3251.7257900365207,3319.718500306976,3515.0998516588575,3141.0131692091545,195.38135135188168,3096.8226030791934
51,2021-06-03,3136.141870825138,3136.141870825138,3104.4278756351528,3122.91943359375,1281706,0.0,0,3198.972825171513,3096.8226030791934,1,3198.972825171513,3003.591473819631,3003.591473819631,3078.22715003605,3101.282149495572,3124.337148955094,3157.1612159822103,3198.972825171513,3251.7257900365207,3319.718500306976,3515.0998516588575,3136.141870825138,195.38135135188168,3104.4278756351528
52,2021-06-04,3109.746693588469,3138.428437768849,3106.764199956511,3125.40478515625,1836060,0.0,0,3198.972825171513,3096.8226030791934,1,3198.972825171513,3003.591473819631,3003.591473819631,3078.22715003605,3101.282149495572,3124.337148955094,3157.1612159822103,3198.972825171513,3251.7257900365207,3319.718500306976,3515.0998516588575,3138.428437768849,195.38135135188168,3106.764199956511
53,2021-06-07,3126.6474748755345,3171.8322046258554,3115.3140962183284,3164.62451171875,2559821,0.0,0,3198.972825171513,3096.8226030791934,1,3198.972825171513,3003.591473819631,3003.591473819631,3078.22715003605,3101.282149495572,3124.337148955094,3157.1612159822103,3198.972825171513,3251.7257900365207,3319.718500306976,3515.0998516588575,3171.8322046258554,195.38135135188168,3115.3140962183284
54,2021-06-08,3179.3382292424963,3212.1456593753924,3168.601203564903,3181.4755859375,2574057,0.0,0,3198.972825171513,3096.8226030791934,1,3198.972825171513,3003.591473819631,3003.591473819631,3078.22715003605,3101.282149495572,3124.337148955094,3157.1612159822103,3198.972825171513,3251.7257900365207,3319.718500306976,3515.0998516588575,3212.1456593753924,195.38135135188168,3168.601203564903
55,2021-06-09,3183.314739052369,3201.209700108878,3167.6068913595777,3181.574951171875,1710925,0.0,0,3198.972825171513,3096.8226030791934,1,3198.972825171513,3003.591473819631,3003.591473819631,3078.22715003605,3101.282149495572,3124.337148955094,3157.1612159822103,3198.972825171513,3251.7257900365207,3319.718500306976,3515.0998516588575,3201.209700108878,195.38135135188168,3167.6068913595777
56,2021-06-10,3191.268196987966,3205.186500650842,3174.3673996830453,3198.028564453125,1874324,0.0,0,3198.972825171513,3096.8226030791934,1,3198.972825171513,3003.591473819631,3003.591473819631,3078.22715003605,3101.282149495572,3124.337148955094,3157.1612159822103,3198.972825171513,3251.7257900365207,3319.718500306976,3515.0998516588575,3205.186500650842,195.38135135188168,3174.3673996830453
57,2021-06-11,3192.809299923838,3289.690589534199,3192.2624608625906,3254.696044921875,3452954,0.0,0,3289.690589534199,3192.2624608625906,1,3289.690589534199,3096.8226030791934,3096.8226030791934,3170.4981739050054,3193.256596306696,3216.015018708387,3248.4168404328275,3289.690589534199,3341.76494587705,3408.883005163392,3601.7509916183976,3289.690589534199,192.8679864550054,3192.2624608625906
58,2021-06-14,3259.865640208258,3289.392279531545,3251.266213724102,3257.231201171875,1847360,0.0,0,3289.690589534199,3192.2624608625906,1,3289.690589534199,3096.8226030791934,3096.8226030791934,3170.4981739050054,3193.256596306696,3216.015018708387,3248.4168404328275,3289.690589534199,3341.76494587705,3408.883005163392,3601.7509916183976,3289.392279531545,192.8679864550054,3251.266213724102
59,2021-06-15,3278.754750294518,3278.754750294518,3232.5758545832587,3243.71044921875,1304985,0.0,0,3289.690589534199,3192.2624608625906,1,3289.690589534199,3096.8226030791934,3096.8226030791934,3170.4981739050054,3193.256596306696,3216.015018708387,3248.4168404328275,3289.690589534199,3341.76494587705,3408.883005163392,3601.7509916183976,3278.754750294518,192.8679864550054,3232.5758545832587
